_time,recipient,ccAddresses{},toAddresses{},clickTime,clickIP,completelyRewritten,eventTime,eventType,messageTime
2020-04-27T09:32:34.062-0700,email1@testing.org,email@testing.com,toadd1@testing.org,2020-04-27T09:32:34.062-0700,192.168.1.254,FALSE,2020-04-27T16:32:34.062Z,messagesBlocked,2020-04-27T16:16:36.000Z
2020-04-27T09:32:34.062-0700,email2@testing.org,fulltest@gmail.com,toadd2@testing.org,2020-04-27T09:32:34.062-0700,192.168.1.254,TRUE,2020-04-27T16:32:34.062Z,messagesBlocked,2020-04-27T08:22:36.000Z
2020-04-27T09:02:34.513-0700,email3@testing.org,testing@testorg.co,toadd3@testing.org,2020-04-27T09:02:34.513-0700,192.168.1.254,FALSE,2020-04-27T16:02:34.513Z,clicksBlocked,
2020-04-27T09:02:34.513-0700,email4@testing.org,ccadd1@testing.org,toadd4@testing.org,2020-04-27T09:02:34.513-0700,192.168.1.254,TRUE,,messagesBlocked,
2020-04-27T09:02:34.513-0700,,,,2020-04-27T09:02:34.513-0700,192.168.1.254,FALSE,2020-04-27T16:02:34.513Z,messagesBlocked,2020-04-27T15:33:48.000Z
2020-04-27T08:02:34.239-0700,email6@testing.org,ccadd3@testing.org,toadd6@testing.org,2020-04-27T08:02:34.239-0700,192.168.1.254,FALSE,2020-04-27T15:02:34.239Z,messagesBlocked,2020-04-27T12:14:48.000Z
,email7@testing.org,ccadd4@testing.org,toadd7@testing.org,2020-04-27T07:32:34.376-0700,192.168.1.254,FALSE,2020-04-27T14:32:34.376Z,messagesBlocked,2020-04-27T11:51:36.000Z
2020-04-27T07:32:34.376-0700,email8@testing.org,ccadd5@testing.org,toadd8@testing.org,2020-04-27T07:32:34.376-0700,192.168.1.254,TRUE,2020-04-27T14:32:34.376Z,messagesBlocked,2020-04-27T11:51:36.000Z
2020-04-27T06:42:35.309-0700,email9@testing.org,ccadd6@testing.org,toadd9@testing.org,2020-04-27T06:42:35.309-0700,192.168.1.254,TRUE,2020-04-27T13:42:35.309Z,messagesBlocked,2020-04-27T12:14:48.000Z
,email10@testing.org,ccadd7@testing.org,toadd10@testing.org,2020-04-27T06:32:34.351-0700,192.168.1.254,TRUE,2020-04-27T13:32:34.351Z,messagesBlocked,2020-04-27T11:51:36.000Z
2020-04-27T06:32:34.351-0700,email11@testing.org,ccadd8@testing.org,toadd11@testing.org,2020-04-27T06:32:34.351-0700,192.168.1.254,TRUE,2020-04-27T13:32:34.351Z,messagesBlocked,2020-04-27T11:51:36.000Z
2020-04-27T06:22:35.139-0700,email12@testing.org,ccadd9@testing.org,toadd12@testing.org,2020-04-27T06:22:35.139-0700,192.168.1.254,FALSE,2020-04-27T13:22:35.139Z,messagesBlocked,2020-04-27T12:14:48.000Z
2020-04-27T06:02:34.820-0700,email13@testing.org,ccadd10@testing.org,toadd13@testing.org,2020-04-27T06:02:34.820-0700,192.168.1.254,FALSE,2020-04-27T13:02:34.820Z,messagesBlocked,2020-04-27T12:14:48.000Z
2020-04-27T06:02:34.820-0700,email13@testing.org,ccadd11@testing.org,toadd14@testing.org,2020-04-27T06:02:34.820-0700,192.168.1.254,FALSE,2020-04-27T13:02:34.820Z,clicksPermitted	,2020-04-27T12:14:48.000Z
2020-04-27T06:02:34.820-0700,email13@testing.org,ccadd12@testing.org,toadd15@testing.org,2020-04-27T06:02:34.820-0700,192.168.1.254,FALSE,2020-04-27T13:02:34.820Z,proof_point_event_type,2020-04-27T12:14:48.000Z
2020-04-27T06:02:34.820-0700,email13@testing.org,ccadd13@testing.org,toadd16@testing.org,2020-04-27T06:02:34.820-0700,192.168.1.254,FALSE,2020-04-27T13:02:34.820Z,MessagesDelivered,2020-04-27T12:14:48.000Z
